name,country,continent,unesco_id,inception_year,inscription_year,heritage_criteria,official_website,wikidata_item,lon,lat
Hypogeum of Ħal Saflieni,Malta,Europe,130,,1980,http://www.wikidata.org/entity/Q23038977,https://heritagemalta.org/hal-saflieni-hypogeum/,http://www.wikidata.org/entity/Q755514,14.506883333,35.869558333
Iate Tênis Clube,Brazil,South America,,,1997,,,http://www.wikidata.org/entity/Q29470059,-43.97569,-19.85417
Igreja da Sé,People's Republic of China,Asia,1110,,,,,http://www.wikidata.org/entity/Q1106554,113.54166667,22.19361111
Iguaçu National Park,Brazil,South America,355,,1986,http://www.wikidata.org/entity/Q23038981;http://www.wikidata.org/entity/Q23038986,http://www.cataratasdoiguacu.com.br/,http://www.wikidata.org/entity/Q742315,-53.8,-25.5
Incense Route – Desert Cities in the Negev,Israel,Asia,1107rev,,2005,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038979,,http://www.wikidata.org/entity/Q477578,34.657777777,31.0975
Independence Hall,United States,North America,78,,1979,http://www.wikidata.org/entity/Q23038980,https://www.nps.gov/inde/planyourvisit/independencehall.htm,http://www.wikidata.org/entity/Q390028,-75.15,39.948888888
Iwan-e Mosaic,Iran,Asia,,,2018,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q5680019,51.5764556,29.7800445
Jameh Mosque of Isfahan,Iran,Asia,1397,,2012,http://www.wikidata.org/entity/Q23038976,https://isfahanjamehmosque.com/,http://www.wikidata.org/entity/Q1256501,51.685277777,32.669722222
Jeju Volcanic Island and Lava Tubes,South Korea,Asia,1264bis,,2007,http://www.wikidata.org/entity/Q23038981;http://www.wikidata.org/entity/Q23038983,,http://www.wikidata.org/entity/Q495733,126.5325,33.36138889
Jerónimos Monastery,Portugal,Europe,263bis-001,,,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038980,http://www.mosteirojeronimos.pt,http://www.wikidata.org/entity/Q272781,-9.205601,38.697846
Jesuit missions among the Guaraní,Argentina,South America,275bis,,1983,http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q465960,-55.531669444,-27.255280555
